country,code,year,grnGasEm100K,pop10M
United Kingdom,GBR,1983,7.6323,5.6333
India,IND,1983,10.5929,74.7375
Japan,JPN,1983,10.7049,11.9259
Mexico,MEX,1983,4.2075,7.4133
United States,USA,1983,55.2478,23.3792
Brazil,BRA,1984,12.6005,13.3951
Canada,CAN,1984,5.6937,2.5702
China,CHN,1984,31.3578,103.6825
Germany,DEU,1984,12.9169,7.7859
France,FRA,1984,5.7522,5.6471
United Kingdom,GBR,1984,7.3085,5.6422
India,IND,1984,11.1775,76.4664
Japan,JPN,1984,11.3748,12.0018
Mexico,MEX,1984,4.3665,7.5721
United States,USA,1984,57.6122,23.5825
Brazil,BRA,1985,13.2254,13.6836
Canada,CAN,1985,5.7674,2.5942
China,CHN,1985,31.4290,105.1040
Germany,DEU,1985,13.0125,7.7685
France,FRA,1985,5.6194,5.6796
United Kingdom,GBR,1985,7.6661,5.6550
India,IND,1985,11.4036,78.2085
Japan,JPN,1985,11.1281,12.0754
Mexico,MEX,1985,4.4304,7.7323
United States,USA,1985,57.7690,23.7924
Brazil,BRA,1986,14.0516,13.9665
Canada,CAN,1986,5.6587,2.6204
China,CHN,1986,32.8278,106.6790
Germany,DEU,1986,13.0226,7.7720
France,FRA,1986,5.4947,5.7133
United Kingdom,GBR,1986,7.8606,5.6681
India,IND,1986,11.9950,79.9607
Japan,JPN,1986,11.1125,12.1492
Mexico,MEX,1986,4.4299,7.8939
United States,USA,1986,57.3103,24.0133
Brazil,BRA,1987,16.1286,14.2437
Canada,CAN,1987,5.7111,2.6550
China,CHN,1987,33.4925,108.4035
Germany,DEU,1987,13.0698,7.7840
France,FRA,1987,5.4752,5.7483
United Kingdom,GBR,1987,7.8572,5.6802
India,IND,1987,12.0206,81.7232
Japan,JPN,1987,11.1102,12.2091
Mexico,MEX,1987,4.5448,8.0571
United States,USA,1987,57.4363,24.2289
Brazil,BRA,1988,14.5411,14.5150
Canada,CAN,1988,6.2318,2.6895
China,CHN,1988,36.8067,110.1630
Germany,DEU,1988,12.9425,7.8145
France,FRA,1988,5.3391,5.7836
United Kingdom,GBR,1988,7.8787,5.6928
India,IND,1988,13.0525,83.4944
Japan,JPN,1988,11.8675,12.2613
Mexico,MEX,1988,4.6219,8.2223
United States,USA,1988,61.8575,24.4499
Brazil,BRA,1989,14.7641,14.7802
Canada,CAN,1989,7.9406,2.7379
China,CHN,1989,38.0069,111.8650
Germany,DEU,1989,12.7898,7.8751
France,FRA,1989,5.4792,5.8183
United Kingdom,GBR,1989,7.7592,5.7077
India,IND,1989,13.6539,85.2736
Japan,JPN,1989,12.1686,12.3116
Mexico,MEX,1989,4.7333,8.3902
United States,USA,1989,62.2139,24.6819
Brazil,BRA,1990,16.0621,15.0393
